"V1","V2","V3","V4","V5","V6"
-0.29183490927677,0.0676218404255249,0.00796344169335628,0.220524731631783,0.331602593946782,0.449989783455061
-0.289728709914151,-0.217538891390813,0.132038886061733,0.237201168601666,0.375596222691499,0.446806534578015
-0.134399599543474,-0.126658466893507,0.039681822290518,0.214687312314207,0.423482269970953,0.412618915446252
-0.227239488117002,-0.0847074565419221,0.233864615957084,0.256681309834258,0.324465770577699,0.485833694276005
-0.321072020101874,-0.070705393159038,0.107033052913693,0.301483321147465,0.432853203568532,0.512268342051997
-0.207305025199322,0.0244987848639185,0.114135398232738,0.234025465557916,0.313830575164121,0.485290785845354
-0.3276323392055,-0.265194829168739,0.135881260569643,0.246015482263903,0.406988770685579,0.471309036374024
-0.411686684842679,-0.190496251138067,-0.0355898345379009,0.17602535256428,0.318128962353941,0.569539373560044
-0.189996324499354,-0.14934023495877,-0.0331084776663628,0.28083758605231,0.367918629789292,0.55503832216161
-0.251966566273073,-0.147856615272408,0.0847973811219875,0.170487298373622,0.366212994224548,0.341014948505976
-0.199872227124078,-0.0473928027180675,0.0130516232353989,0.199229852499642,0.328292457380647,0.446979227878104
-0.338736432829758,-0.0531641041195181,0.0176595397584098,0.167093068145865,0.350385551057574,0.48513656431545
-0.171208745263643,-0.187992370184969,0.0451426604917843,0.304623232478944,0.248029209194258,0.475729707169941
-0.155765622744985,-0.02368045501618,0.281880400814771,0.263738219298995,0.413693998309383,0.467031010459723
-0.199976876512318,-0.100123060859189,0.141442042943408,0.202762862211709,0.437730540092745,0.452590154765056
-0.15114971142988,-0.178194265378378,0.0239427338389777,0.20887953957412,0.318982760535925,0.479885251109464
-0.29705895564088,-0.123654734357859,0.0799321829669566,0.234473259039556,0.426011757447684,0.39942988809542
-0.372468980399209,0.0682821337901551,-0.00807877363768594,0.260393802154242,0.417282310948784,0.53335180972397
-0.368224963820088,-0.0587018396108883,0.0863783351257702,0.235973574164529,0.377771892070849,0.388334216612553
-0.174715042964639,-0.0367801373413805,0.107026754254876,0.348817003442379,0.293554337310545,0.337905928443312
-0.162267140621073,-0.0157575464630109,0.0302843387994584,0.127139814779692,0.303185173195673,0.547687004001283
-0.462528402818342,0.0214552444925648,0.0846790545822987,0.260607564914023,0.408627448201833,0.440842647150518
