Group,Month,N_inf
1,1,2183
1,2,1884
1,3,1571
1,4,1343
1,5,1153
1,6,767
2,1,29699
2,2,24845
2,3,20804
2,4,17426
2,5,14757
2,6,10229
3,1,2307
3,2,1865
3,3,1591
3,4,1274
3,5,1115
3,6,771
4,1,1005
4,2,922
4,3,962
4,4,933
4,5,912
4,6,740
